factor_id,name,factor_type,star,effects
3100401,L'Arc・栄養管理,6,1,耐:1/4/7/10/13
3100402,L'Arc・栄養管理,6,2,耐:1/4/7/10/13
3100403,L'Arc・栄養管理,6,3,耐:1/4/7/10/13
3100501,L'Arc・フランス語力,6,1,智:1/4/7/10/13
3100502,L'Arc・フランス語力,6,2,智:1/4/7/10/13
3100503,L'Arc・フランス語力,6,3,智:1/4/7/10/13
3100601,L'Arc・海外遠征,6,1,速:1/4/7/10/13
3100602,L'Arc・海外遠征,6,2,速:1/4/7/10/13
3100603,L'Arc・海外遠征,6,3,速:1/4/7/10/13
3100701,L'Arc・強心臓,6,1,耐:3/6/9+根:3/6/9
3100702,L'Arc・強心臓,6,2,耐:3/6/9+根:3/6/9
3100703,L'Arc・強心臓,6,3,耐:3/6/9+根:3/6/9
3100801,L'Arc・精神力,6,1,力:3/6/9+智:3/6/9
3100802,L'Arc・精神力,6,2,力:3/6/9+智:3/6/9
3100803,L'Arc・精神力,6,3,力:3/6/9+智:3/6/9
3100901,L'Arcの希望,6,1,速:3/6/9+根:3/6/9
3100902,L'Arcの希望,6,2,速:3/6/9+根:3/6/9
3100903,L'Arcの希望,6,3,速:3/6/9+根:3/6/9
3101001,凱旋門賞連覇の夢,6,1,PT:3/6/9
3101002,凱旋門賞連覇の夢,6,2,PT:3/6/9
3101003,凱旋門賞連覇の夢,6,3,PT:3/6/9
3101101,U.A.F.シナリオ・スフィア,6,1,速:5/10/15+PT:5/10/15
3101102,U.A.F.シナリオ・スフィア,6,2,速:5/10/15+PT:5/10/15
3101103,U.A.F.シナリオ・スフィア,6,3,速:5/10/15+PT:5/10/15
3101201,U.A.F.シナリオ・ファイト,6,1,力:5/10/15+PT:5/10/15
3101202,U.A.F.シナリオ・ファイト,6,2,力:5/10/15+PT:5/10/15
3101203,U.A.F.シナリオ・ファイト,6,3,力:5/10/15+PT:5/10/15
3101301,U.A.F.シナリオ・フリー,6,1,根:5/10/15+PT:5/10/15
3101302,U.A.F.シナリオ・フリー,6,2,根:5/10/15+PT:5/10/15
3101303,U.A.F.シナリオ・フリー,6,3,根:5/10/15+PT:5/10/15
3101501,豊食祭シナリオ・にんじん,6,1,速:3/6/9+PT:3/6/9
3101502,豊食祭シナリオ・にんじん,6,2,速:3/6/9+PT:3/6/9
3101503,豊食祭シナリオ・にんじん,6,3,速:3/6/9+PT:3/6/9
3101601,豊食祭シナリオ・にんにく,6,1,耐:3/6/9+PT:3/6/9
3101602,豊食祭シナリオ・にんにく,6,2,耐:3/6/9+PT:3/6/9
3101603,豊食祭シナリオ・にんにく,6,3,耐:3/6/9+PT:3/6/9
3101701,豊食祭シナリオ・じゃがいも,6,1,力:3/6/9+PT:3/6/9
3101702,豊食祭シナリオ・じゃがいも,6,2,力:3/6/9+PT:3/6/9
3101703,豊食祭シナリオ・じゃがいも,6,3,力:3/6/9+PT:3/6/9
3101801,豊食祭シナリオ・唐辛子,6,1,根:3/6/9+PT:3/6/9
3101802,豊食祭シナリオ・唐辛子,6,2,根:3/6/9+PT:3/6/9
3101803,豊食祭シナリオ・唐辛子,6,3,根:3/6/9+PT:3/6/9
3101901,豊食祭シナリオ・いちご,6,1,智:3/6/9+PT:3/6/9
3101902,豊食祭シナリオ・いちご,6,2,智:3/6/9+PT:3/6/9
3101903,豊食祭シナリオ・いちご,6,3,智:3/6/9+PT:3/6/9
3102101,メカウマ娘シナリオ・SPD,6,1,速:4/8/12+PT:4/8/12
3102102,メカウマ娘シナリオ・SPD,6,2,速:4/8/12+PT:4/8/12
3102103,メカウマ娘シナリオ・SPD,6,3,速:4/8/12+PT:4/8/12
3102201,メカウマ娘シナリオ・STM,6,1,耐:4/8/12+PT:4/8/12
3102202,メカウマ娘シナリオ・STM,6,2,耐:4/8/12+PT:4/8/12
3102203,メカウマ娘シナリオ・STM,6,3,耐:4/8/12+PT:4/8/12
3102301,メカウマ娘シナリオ・POW,6,1,力:4/8/12+PT:4/8/12
3102302,メカウマ娘シナリオ・POW,6,2,力:4/8/12+PT:4/8/12
3102303,メカウマ娘シナリオ・POW,6,3,力:4/8/12+PT:4/8/12
3102401,メカウマ娘シナリオ・GUTS,6,1,根:4/8/12+PT:4/8/12
3102402,メカウマ娘シナリオ・GUTS,6,2,根:4/8/12+PT:4/8/12
3102403,メカウマ娘シナリオ・GUTS,6,3,根:4/8/12+PT:4/8/12
3102501,メカウマ娘シナリオ・WIT,6,1,智:4/8/12+PT:4/8/12
3102502,メカウマ娘シナリオ・WIT,6,2,智:4/8/12+PT:4/8/12
3102503,メカウマ娘シナリオ・WIT,6,3,智:4/8/12+PT:4/8/12
3102601,Legendsシナリオ,6,1,力:12/24/36+根:12/24/36
3102602,Legendsシナリオ,6,2,力:12/24/36+根:12/24/36
3102603,Legendsシナリオ,6,3,力:12/24/36+根:12/24/36
3102701,無人島シナリオ,6,1,耐:12/24/36+智:12/24/36
3102702,無人島シナリオ,6,2,耐:12/24/36+智:12/24/36
3102703,無人島シナリオ,6,3,耐:12/24/36+智:12/24/36
3102801,温泉郷シナリオ,6,1,根:12/24/36+智:12/24/36
3102802,温泉郷シナリオ,6,2,根:12/24/36+智:12/24/36
3102803,温泉郷シナリオ,6,3,根:12/24/36+智:12/24/36
3102901,Dreamsシナリオ,6,1,速:12/24/36+根:12/24/36
3102902,Dreamsシナリオ,6,2,速:12/24/36+根:12/24/36
3102903,Dreamsシナリオ,6,3,速:12/24/36+根:12/24/36
3103001,トレセン軒シナリオ,6,1,力:12/24/36+根:12/24/36
3103002,トレセン軒シナリオ,6,2,力:12/24/36+根:12/24/36
3103003,トレセン軒シナリオ,6,3,力:12/24/36+根:12/24/36
4000101,カーニバルボーナス,7,1,カーニバルボーナスLv付与(1000011)
4000102,カーニバルボーナス,7,2,カーニバルボーナスLv付与(1000012)
4000103,カーニバルボーナス,7,3,カーニバルボーナスLv付与(1000013)
4000104,カーニバルボーナス,7,4,カーニバルボーナスLv付与(1000014)
4000105,カーニバルボーナス,7,5,カーニバルボーナスLv付与(1000015)
4000106,カーニバルボーナス,7,6,カーニバルボーナスLv付与(1000016)
4000107,カーニバルボーナス,7,7,カーニバルボーナスLv付与(1000017)
5000101,芝の遺伝子,10,1,芝適性+1/+2
5000102,芝の遺伝子,10,2,芝適性+1/+2
5000103,芝の遺伝子,10,3,芝適性+1/+2
5000201,ダートの遺伝子,10,1,ダート適性+1/+2
5000202,ダートの遺伝子,10,2,ダート適性+1/+2
5000203,ダートの遺伝子,10,3,ダート適性+1/+2
5000301,短距離の遺伝子,8,1,短距離適性+1/+2
5000302,短距離の遺伝子,8,2,短距離適性+1/+2
5000303,短距離の遺伝子,8,3,短距離適性+1/+2
5000401,マイルの遺伝子,8,1,マイル適性+1/+2
5000402,マイルの遺伝子,8,2,マイル適性+1/+2
5000403,マイルの遺伝子,8,3,マイル適性+1/+2
5000501,中距離の遺伝子,8,1,中距離適性+1/+2
5000502,中距離の遺伝子,8,2,中距離適性+1/+2
5000503,中距離の遺伝子,8,3,中距離適性+1/+2
5000601,長距離の遺伝子,8,1,長距離適性+1/+2
5000602,長距離の遺伝子,8,2,長距離適性+1/+2
5000603,長距離の遺伝子,8,3,長距離適性+1/+2
5000701,逃げの遺伝子,11,1,逃適性+1/+2
5000702,逃げの遺伝子,11,2,逃適性+1/+2
5000703,逃げの遺伝子,11,3,逃適性+1/+2
5000801,先行の遺伝子,11,1,先適性+1/+2
5000802,先行の遺伝子,11,2,先適性+1/+2
5000803,先行の遺伝子,11,3,先適性+1/+2
5000901,差しの遺伝子,11,1,差適性+1/+2
5000902,差しの遺伝子,11,2,差適性+1/+2
5000903,差しの遺伝子,11,3,差適性+1/+2
5001001,追込の遺伝子,11,1,追適性+1/+2
5001002,追込の遺伝子,11,2,追適性+1/+2
5001003,追込の遺伝子,11,3,追適性+1/+2
5001101,スピードの目覚め,9,1,速:6/12/18
5001102,スピードの目覚め,9,2,速:6/12/18
5001103,スピードの目覚め,9,3,速:6/12/18
5001201,スタミナの目覚め,9,1,耐:6/12/18
5001202,スタミナの目覚め,9,2,耐:6/12/18
5001203,スタミナの目覚め,9,3,耐:6/12/18
5001301,パワーの目覚め,9,1,力:6/12/18
5001302,パワーの目覚め,9,2,力:6/12/18
5001303,パワーの目覚め,9,3,力:6/12/18
5001401,根性の目覚め,9,1,根:6/12/18
5001402,根性の目覚め,9,2,根:6/12/18
5001403,根性の目覚め,9,3,根:6/12/18
5001501,賢さの目覚め,9,1,智:6/12/18
5001502,賢さの目覚め,9,2,智:6/12/18
5001503,賢さの目覚め,9,3,智:6/12/18
5001601,右回りの目覚め,9,1,ヒント:右回り○(200012) Lv=星
5001602,右回りの目覚め,9,2,ヒント:右回り○(200012) Lv=星
5001603,右回りの目覚め,9,3,ヒント:右回り○(200012) Lv=星
5001701,左回りの目覚め,9,1,ヒント:左回り○(200022) Lv=星
5001702,左回りの目覚め,9,2,ヒント:左回り○(200022) Lv=星
5001703,左回りの目覚め,9,3,ヒント:左回り○(200022) Lv=星
5001801,春の目覚め,9,1,ヒント(200172) Lv=星
5001802,春の目覚め,9,2,ヒント(200172) Lv=星
5001803,春の目覚め,9,3,ヒント(200172) Lv=星
5001901,夏の目覚め,9,1,ヒント(200182) Lv=星
5001902,夏の目覚め,9,2,ヒント(200182) Lv=星
5001903,夏の目覚め,9,3,ヒント(200182) Lv=星
5002001,秋の目覚め,9,1,ヒント(200192) Lv=星
5002002,秋の目覚め,9,2,ヒント(200192) Lv=星
5002003,秋の目覚め,9,3,ヒント(200192) Lv=星
5002101,冬の目覚め,9,1,ヒント(200202) Lv=星
5002102,冬の目覚め,9,2,ヒント(200202) Lv=星
5002103,冬の目覚め,9,3,ヒント(200202) Lv=星
5002201,連戦連勝,9,1,ランダム属性:6/12/18|hidden
5002202,連戦連勝,9,2,ランダム属性:6/12/18|hidden
5002203,連戦連勝,9,3,ランダム属性:6/12/18|hidden
5002301,東の雄,9,1,ランダム属性:6/12/18|hidden
5002302,東の雄,9,2,ランダム属性:6/12/18|hidden
5002303,東の雄,9,3,ランダム属性:6/12/18|hidden
5002401,西の雄,9,1,ランダム属性:6/12/18|hidden
5002402,西の雄,9,2,ランダム属性:6/12/18|hidden
5002403,西の雄,9,3,ランダム属性:6/12/18|hidden
5002501,旅人,9,1,ランダム属性:6/12/18|hidden
5002502,旅人,9,2,ランダム属性:6/12/18|hidden
5002503,旅人,9,3,ランダム属性:6/12/18|hidden
5002601,全階級制覇,9,1,ランダム属性:6/12/18|hidden
5002602,全階級制覇,9,2,ランダム属性:6/12/18|hidden
5002603,全階級制覇,9,3,ランダム属性:6/12/18|hidden
5002701,パーフェクトクラウン,9,1,ランダム属性:6/12/18|hidden
5002702,パーフェクトクラウン,9,2,ランダム属性:6/12/18|hidden
5002703,パーフェクトクラウン,9,3,ランダム属性:6/12/18|hidden
5002801,パーフェクトティアラ,9,1,ランダム属性:6/12/18|hidden
5002802,パーフェクトティアラ,9,2,ランダム属性:6/12/18|hidden
5002803,パーフェクトティアラ,9,3,ランダム属性:6/12/18|hidden
5002901,新聞屋さん,9,1,ランダム属性:6/12/18|hidden
5002902,新聞屋さん,9,2,ランダム属性:6/12/18|hidden
5002903,新聞屋さん,9,3,ランダム属性:6/12/18|hidden
5003001,一年の計は,9,1,ランダム属性:6/12/18|hidden
5003002,一年の計は,9,2,ランダム属性:6/12/18|hidden
5003003,一年の計は,9,3,ランダム属性:6/12/18|hidden
5003101,SSS,9,1,ランダム属性:6/12/18|hidden
5003102,SSS,9,2,ランダム属性:6/12/18|hidden
5003103,SSS,9,3,ランダム属性:6/12/18|hidden
5003201,SMS,9,1,ランダム属性:6/12/18|hidden
5003202,SMS,9,2,ランダム属性:6/12/18|hidden
5003203,SMS,9,3,ランダム属性:6/12/18|hidden
5003301,S2000,9,1,ランダム属性:6/12/18|hidden
5003302,S2000,9,2,ランダム属性:6/12/18|hidden
5003303,S2000,9,3,ランダム属性:6/12/18|hidden
5003401,星に願いを,9,1,ランダム属性:6/12/18|hidden
5003402,星に願いを,9,2,ランダム属性:6/12/18|hidden
5003403,星に願いを,9,3,ランダム属性:6/12/18|hidden
5003501,ジュエリー,9,1,ランダム属性:6/12/18|hidden
5003502,ジュエリー,9,2,ランダム属性:6/12/18|hidden
5003503,ジュエリー,9,3,ランダム属性:6/12/18|hidden
5003601,お嬢様,9,1,ランダム属性:6/12/18|hidden
5003602,お嬢様,9,2,ランダム属性:6/12/18|hidden
5003603,お嬢様,9,3,ランダム属性:6/12/18|hidden
5003701,太陽系,9,1,ランダム属性:6/12/18|hidden
5003702,太陽系,9,2,ランダム属性:6/12/18|hidden
5003703,太陽系,9,3,ランダム属性:6/12/18|hidden
5003801,ノーブレーキ,9,1,ランダム属性:6/12/18|hidden
5003802,ノーブレーキ,9,2,ランダム属性:6/12/18|hidden
5003803,ノーブレーキ,9,3,ランダム属性:6/12/18|hidden
5003901,ビュービュー,9,1,ランダム属性:6/12/18|hidden
5003902,ビュービュー,9,2,ランダム属性:6/12/18|hidden
5003903,ビュービュー,9,3,ランダム属性:6/12/18|hidden
5004001,ピカピカ,9,1,ランダム属性:6/12/18|hidden
5004002,ピカピカ,9,2,ランダム属性:6/12/18|hidden
5004003,ピカピカ,9,3,ランダム属性:6/12/18|hidden
5004101,出たとこ勝負,9,1,ランダム属性:6/12/18|hidden
5004102,出たとこ勝負,9,2,ランダム属性:6/12/18|hidden
5004103,出たとこ勝負,9,3,ランダム属性:6/12/18|hidden
5004201,山娘,9,1,ランダム属性:6/12/18|hidden
5004202,山娘,9,2,ランダム属性:6/12/18|hidden
5004203,山娘,9,3,ランダム属性:6/12/18|hidden
5004301,全天候型,9,1,ランダム属性:6/12/18|hidden
5004302,全天候型,9,2,ランダム属性:6/12/18|hidden
5004303,全天候型,9,3,ランダム属性:6/12/18|hidden
5004401,企画上手,9,1,ランダム属性:6/12/18|hidden
5004402,企画上手,9,2,ランダム属性:6/12/18|hidden
5004403,企画上手,9,3,ランダム属性:6/12/18|hidden
5004501,策略家,9,1,ランダム属性:6/12/18|hidden
5004502,策略家,9,2,ランダム属性:6/12/18|hidden
5004503,策略家,9,3,ランダム属性:6/12/18|hidden
5004601,ウマ娘よ大志を抱け,9,1,ランダム属性:6/12/18|hidden
5004602,ウマ娘よ大志を抱け,9,2,ランダム属性:6/12/18|hidden
5004603,ウマ娘よ大志を抱け,9,3,ランダム属性:6/12/18|hidden
5004701,大肺活量,9,1,ランダム属性:6/12/18|hidden
5004702,大肺活量,9,2,ランダム属性:6/12/18|hidden
5004703,大肺活量,9,3,ランダム属性:6/12/18|hidden
5004801,東奔西走,9,1,ランダム属性:6/12/18|hidden
5004802,東奔西走,9,2,ランダム属性:6/12/18|hidden
5004803,東奔西走,9,3,ランダム属性:6/12/18|hidden
5004901,想いの継ぎ手,9,1,ランダム属性:6/12/18|hidden
5004902,想いの継ぎ手,9,2,ランダム属性:6/12/18|hidden
5004903,想いの継ぎ手,9,3,ランダム属性:6/12/18|hidden
5005001,甲斐性なし,9,1,ランダム属性:6/12/18|hidden
5005002,甲斐性なし,9,2,ランダム属性:6/12/18|hidden
5005003,甲斐性なし,9,3,ランダム属性:6/12/18|hidden
5005101,健闘,9,1,ランダム属性:6/12/18|hidden
5005102,健闘,9,2,ランダム属性:6/12/18|hidden
5005103,健闘,9,3,ランダム属性:6/12/18|hidden
5005201,叩き良化型,9,1,ランダム属性:6/12/18|hidden
5005202,叩き良化型,9,2,ランダム属性:6/12/18|hidden
5005203,叩き良化型,9,3,ランダム属性:6/12/18|hidden
5005301,二刀流,9,1,ランダム属性:6/12/18|hidden
5005302,二刀流,9,2,ランダム属性:6/12/18|hidden
5005303,二刀流,9,3,ランダム属性:6/12/18|hidden
5005401,諦めない心,9,1,ランダム属性:6/12/18|hidden
5005402,諦めない心,9,2,ランダム属性:6/12/18|hidden
5005403,諦めない心,9,3,ランダム属性:6/12/18|hidden
5005501,信頼の証,9,1,ランダム属性:6/12/18|hidden
5005502,信頼の証,9,2,ランダム属性:6/12/18|hidden
5005503,信頼の証,9,3,ランダム属性:6/12/18|hidden
5005601,自由自在,9,1,ランダム属性:6/12/18|hidden
5005602,自由自在,9,2,ランダム属性:6/12/18|hidden
5005603,自由自在,9,3,ランダム属性:6/12/18|hidden
5005701,SMILE,9,1,ランダム属性:6/12/18|hidden
5005702,SMILE,9,2,ランダム属性:6/12/18|hidden
5005703,SMILE,9,3,ランダム属性:6/12/18|hidden
5005801,リフレッシュ,9,1,ランダム属性:6/12/18|hidden
5005802,リフレッシュ,9,2,ランダム属性:6/12/18|hidden
5005803,リフレッシュ,9,3,ランダム属性:6/12/18|hidden
5005901,バランス重視,9,1,ランダム属性:6/12/18|hidden
5005902,バランス重視,9,2,ランダム属性:6/12/18|hidden
5005903,バランス重視,9,3,ランダム属性:6/12/18|hidden
5006001,反骨精神,9,1,ランダム属性:6/12/18|hidden
5006002,反骨精神,9,2,ランダム属性:6/12/18|hidden
5006003,反骨精神,9,3,ランダム属性:6/12/18|hidden
5006101,ジャックポット,9,1,ランダム属性:6/12/18|hidden
5006102,ジャックポット,9,2,ランダム属性:6/12/18|hidden
5006103,ジャックポット,9,3,ランダム属性:6/12/18|hidden
3101403,アスリート魂,4,3,ヒント:アスリート魂(U.A.F.三因子全発動のボーナス)
3102003,食の極意,4,3,ヒント:食の極意(豊食祭五因子ボーナス)
