factor_id,name,star
10130303,きらめくは海、まばゆきは君,3
10140101,プランチャ☆ガナドール,1
10140102,プランチャ☆ガナドール,2
10140103,プランチャ☆ガナドール,3
10140201,コンドル猛撃波,1
10140202,コンドル猛撃波,2
10140203,コンドル猛撃波,3
10150101,ヴィットーリアに捧ぐ舞踏,1
10150102,ヴィットーリアに捧ぐ舞踏,2
10150103,ヴィットーリアに捧ぐ舞踏,3
10150201,恵福バルカローレ,1
10150202,恵福バルカローレ,2
10150203,恵福バルカローレ,3
10160101,Shadow Break,1
10160102,Shadow Break,2
10160103,Shadow Break,3
10160201,灰色の臨界点,1
10160202,灰色の臨界点,2
10160203,灰色の臨界点,3
10170101,汝、皇帝の神威を見よ,1
10170102,汝、皇帝の神威を見よ,2
10170103,汝、皇帝の神威を見よ,3
10170201,翳り退く、さざめきの矢,1
10170202,翳り退く、さざめきの矢,2
10170203,翳り退く、さざめきの矢,3
10180101,ブレイズ・オブ・プライド,1
10180102,ブレイズ・オブ・プライド,2
10180103,ブレイズ・オブ・プライド,3
10180201,薫風、永遠なる瞬間を,1
10180202,薫風、永遠なる瞬間を,2
10180203,薫風、永遠なる瞬間を,3
10190101,尊み☆ﾗｽﾄｽﾊﾟ—(ﾟ∀ﾟ)—ﾄ!,1
10190102,尊み☆ﾗｽﾄｽﾊﾟ—(ﾟ∀ﾟ)—ﾄ!,2
10190103,尊み☆ﾗｽﾄｽﾊﾟ—(ﾟ∀ﾟ)—ﾄ!,3
10190201,萌到讓我活過來了！,1
10190202,萌到讓我活過來了！,2
10190203,萌到讓我活過來了！,3
10200101,アングリング×スキーミング,1
10200102,アングリング×スキーミング,2
10200103,アングリング×スキーミング,3
10200201,Do Ya Breakin!,1
10200202,Do Ya Breakin!,2
10200203,Do Ya Breakin!,3
10200301,海風にまったり身を任せ,1
10200302,海風にまったり身を任せ,2
10200303,海風にまったり身を任せ,3
10210101,白い稲妻、見せたるで！,1
10210102,白い稲妻、見せたるで！,2
10210103,白い稲妻、見せたるで！,3
10210201,火神鳴,1
10210202,火神鳴,2
10210203,火神鳴,3
10220101,Fairy tale,1
10220102,Fairy tale,2
10220103,Fairy tale,3
10220201,Best day ever,1
10220202,Best day ever,2
10220203,Best day ever,3
10220301,麗走一直！ラーメン道,1
10220302,麗走一直！ラーメン道,2
10220303,麗走一直！ラーメン道,3
10230101,∴win Q.E.D.,1
10230102,∴win Q.E.D.,2
10230103,∴win Q.E.D.,3
10230201,Presents from X,1
10230202,Presents from X,2
10230203,Presents from X,3
10230301,勝利ヘ至ル累積,1
10230302,勝利ヘ至ル累積,2
10230303,勝利ヘ至ル累積,3
10240101,ひらめき☆ランディング,1
10240102,ひらめき☆ランディング,2
10240103,ひらめき☆ランディング,3
10240201,フラワリー☆マニューバ,1
10240202,フラワリー☆マニューバ,2
10240203,フラワリー☆マニューバ,3
10240301,HOP STEP♪LOCK ON!,1
10240302,HOP STEP♪LOCK ON!,2
10240303,HOP STEP♪LOCK ON!,3
10250101,アナタヲ・オイカケテ,1
10250102,アナタヲ・オイカケテ,2
10250103,アナタヲ・オイカケテ,3
10250201,心からのおもてにゃし,1
10250202,心からのおもてにゃし,2
10250203,心からのおもてにゃし,3
10250301,迷える時も、幽かなる時も,1
10250302,迷える時も、幽かなる時も,2
10250303,迷える時も、幽かなる時も,3
10260101,G00 1st.F∞;,1
10260102,G00 1st.F∞;,2
10260103,G00 1st.F∞;,3
10260201,オペレーション・Cacao,1
10260202,オペレーション・Cacao,2
10260203,オペレーション・Cacao,3
10270101,レッツ・アナボリック！,1
10270102,レッツ・アナボリック！,2
10270103,レッツ・アナボリック！,3
10270201,あなたに捧げるフリーポア,1
10270202,あなたに捧げるフリーポア,2
10270203,あなたに捧げるフリーポア,3
10280101,I'M☆FULL☆SPEED!!,1
10280102,I'M☆FULL☆SPEED!!,2
10280103,I'M☆FULL☆SPEED!!,3
10280201,シュガーパレード・始動！,1
10280202,シュガーパレード・始動！,2
10280203,シュガーパレード・始動！,3
10290101,ゆきあかり、おいかけて,1
10290102,ゆきあかり、おいかけて,2
10290103,ゆきあかり、おいかけて,3
10290201,いっぱいおあげんしぇ！,1
10290202,いっぱいおあげんしぇ！,2
10290203,いっぱいおあげんしぇ！,3
10300101,ブルーローズチェイサー,1
10300102,ブルーローズチェイサー,2
10300103,ブルーローズチェイサー,3
10300201,Drain for rose,1
10300202,Drain for rose,2
10300203,Drain for rose,3
10300301,あおぞらクッキング♪,1
10300302,あおぞらクッキング♪,2
10300303,あおぞらクッキング♪,3
10310101,チャージ完了！全速前進！,1
10310102,チャージ完了！全速前進！,2
10310103,チャージ完了！全速前進！,3
10310201,フレッシュ☆パーラー,1
10310202,フレッシュ☆パーラー,2
10310203,フレッシュ☆パーラー,3
10310301,全力全開！サイクロン,1
10310302,全力全開！サイクロン,2
10310303,全力全開！サイクロン,3
10320101,U=ma2,1
10320102,U=ma2,2
10320103,U=ma2,3
10320201,夏空ハレーション,1
10320202,夏空ハレーション,2
10320203,夏空ハレーション,3
10320301,超光速微粒子の可能性,1
10320302,超光速微粒子の可能性,2
10320303,超光速微粒子の可能性,3
10330101,ディオスクロイの流星,1
10330102,ディオスクロイの流星,2
10330103,ディオスクロイの流星,3
10330201,Crystal Mist,1
10330202,Crystal Mist,2
10330203,Crystal Mist,3
10340101,快走かな、快走かな！,1
10340102,快走かな、快走かな！,2
10340103,快走かな、快走かな！,3
10340201,灯穂,1
10340202,灯穂,2
10340203,灯穂,3
10350101,勝利のチケットを、君にッ！,1
10350102,勝利のチケットを、君にッ！,2
10350103,勝利のチケットを、君にッ！,3
10350201,夢の先へ、届け！,1
10350202,夢の先へ、届け！,2
10350203,夢の先へ、届け！,3
10350301,GO! Full-send,1
10350302,GO! Full-send,2
10350303,GO! Full-send,3
10360101,trigger:BEAT,1
10360102,trigger:BEAT,2
10360103,trigger:BEAT,3
10360201,...found you.,1
10360202,...found you.,2
10360203,...found you.,3
10370101,Schwarzes Schwert,1
10370102,Schwarzes Schwert,2
10370103,Schwarzes Schwert,3
10370201,Guten Appetit♪,1
10370202,Guten Appetit♪,2
10370203,Guten Appetit♪,3
10370301,潮風のGeschenk,1
10370302,潮風のGeschenk,2
10370303,潮風のGeschenk,3
10380101,#LookatCurren,1
10380102,#LookatCurren,2
10380103,#LookatCurren,3
10380201,One True Color,1
10380202,One True Color,2
10380203,One True Color,3
10390101,姫たるもの、勝利をこの手に,1
10390102,姫たるもの、勝利をこの手に,2
10390103,姫たるもの、勝利をこの手に,3
10390201,快なる剛力,1
10390202,快なる剛力,2
10390203,快なる剛力,3
10400101,KEEP IT REAL.,1
10400102,KEEP IT REAL.,2
10400103,KEEP IT REAL.,3
10400201,GET DOWN,1
10400202,GET DOWN,2
10400203,GET DOWN,3
10400301,Silent Sunset Gold,1
10400302,Silent Sunset Gold,2
10400303,Silent Sunset Gold,3
10410101,優等生×バクシン＝大勝利ッ,1
10410102,優等生×バクシン＝大勝利ッ,2
10410103,優等生×バクシン＝大勝利ッ,3
10410201,CHERRY☆スクランブル,1
10410202,CHERRY☆スクランブル,2
10410203,CHERRY☆スクランブル,3
10410301,桜吹雪くスプリントバースト,1
10410302,桜吹雪くスプリントバースト,2
10410303,桜吹雪くスプリントバースト,3
10420101,『I'm possible』,1
10420102,『I'm possible』,2
10420103,『I'm possible』,3
10420201,Oh!bento-magic☆,1
10420202,Oh!bento-magic☆,2
10420203,Oh!bento-magic☆,3
10430101,Ding Dong Boo,1
10430102,Ding Dong Boo,2
10430103,Ding Dong Boo,3
10440101,いただき☆ストレリチア！,1
10440102,いただき☆ストレリチア！,2
10440103,いただき☆ストレリチア！,3
10440201,とっておきmaterialize,1
10440202,とっておきmaterialize,2
10440203,とっておきmaterialize,3
10450101,ピュリティオブハート,1
10450102,ピュリティオブハート,2
10450103,ピュリティオブハート,3
10450201,ぐるぐるマミートリック♡,1
10450202,ぐるぐるマミートリック♡,2
10450203,ぐるぐるマミートリック♡,3
10450301,忍法・ほほえみ心結の印,1
10450302,忍法・ほほえみ心結の印,2
10450303,忍法・ほほえみ心結の印,3
10460101,キラキラ☆STARDOM,1
10460102,キラキラ☆STARDOM,2
10460103,キラキラ☆STARDOM,3
10460201,α-star*,1
10460202,α-star*,2
10460203,α-star*,3
10460301,Forward March!,1
10460302,Forward March!,2
10460303,Forward March!,3
10470101,掲げよ、己が魂の剣を！,1
10470102,掲げよ、己が魂の剣を！,2
10470103,掲げよ、己が魂の剣を！,3
10470201,未知との遭遇、即ち物語,1
10470202,未知との遭遇、即ち物語,2
10470203,未知との遭遇、即ち物語,3
10480101,YEAH☆VIVID TIME!,1
10480102,YEAH☆VIVID TIME!,2
10480103,YEAH☆VIVID TIME!,3
10480201,GALmem.ふぉーえば♪,1
10480202,GALmem.ふぉーえば♪,2
10480203,GALmem.ふぉーえば♪,3
10480301,ヤバ技☆ジャグルビート,1
10480302,ヤバ技☆ジャグルビート,2
10480303,ヤバ技☆ジャグルビート,3
10490101,剣ヶ峰より、狂気に嗤え,1
10490102,剣ヶ峰より、狂気に嗤え,2
10490103,剣ヶ峰より、狂気に嗤え,3
10490201,運否、聖夜の星に賭ける,1
10490202,運否、聖夜の星に賭ける,2
10490203,運否、聖夜の星に賭ける,3
10500101,Nemesis,1
10500102,Nemesis,2
10500103,Nemesis,3
10500201,Hephaistos,1
10500202,Hephaistos,2
10500203,Hephaistos,3
10500301,Overdrive Speed,1
10500302,Overdrive Speed,2
10500303,Overdrive Speed,3
10510101,つぼみ、ほころぶ時,1
10510102,つぼみ、ほころぶ時,2
10510103,つぼみ、ほころぶ時,3
10510201,Flowering Dreams,1
10510202,Flowering Dreams,2
10510203,Flowering Dreams,3
10520101,ワクワククライマックス,1
10520102,ワクワククライマックス,2
10520103,ワクワククライマックス,3
10520201,113転び114起き,1
10520202,113転び114起き,2
10520203,113転び114起き,3
10530101,熱血！！風紀アタック,1
10530102,熱血！！風紀アタック,2
10530103,熱血！！風紀アタック,3
10530201,奥義・常夏バーニング！！,1
10530202,奥義・常夏バーニング！！,2
10530203,奥義・常夏バーニング！！,3
10540101,疾風爆走ペガサスダッシュ！,1
10540102,疾風爆走ペガサスダッシュ！,2
10540103,疾風爆走ペガサスダッシュ！,3
10550101,万彩☆マーベラス★世界,1
10550102,万彩☆マーベラス★世界,2
10550103,万彩☆マーベラス★世界,3
10550201,喝采☆ワンダードール！,1
10550202,喝采☆ワンダードール！,2
10550203,喝采☆ワンダードール！,3
10560101,来ます来てます来させます！,1
10560102,来ます来てます来させます！,2
10560103,来ます来てます来させます！,3
10560201,禾スナハチ登ル,1
10560202,禾スナハチ登ル,2
10560203,禾スナハチ登ル,3
10570101,叙情、旅路の果てに,1
10570102,叙情、旅路の果てに,2
10570103,叙情、旅路の果てに,3
10570201,爛然闊歩,1
10570202,爛然闊歩,2
10570203,爛然闊歩,3
10580101,I Never Goof Up！,1
10580102,I Never Goof Up！,2
10580103,I Never Goof Up！,3
10580201,Spooky-Scary-Happy,1
10580202,Spooky-Scary-Happy,2
10580203,Spooky-Scary-Happy,3
10590101,彼方、その先へ…,1
10590102,彼方、その先へ…,2
10590103,彼方、その先へ…,3
10590201,ときめきが呼ぶほうへ,1
10590202,ときめきが呼ぶほうへ,2
10590203,ときめきが呼ぶほうへ,3
10600101,きっとその先へ…！,1
10600102,きっとその先へ…！,2
10600103,きっとその先へ…！,3
10600201,Go☆Go☆for it!,1
10600202,Go☆Go☆for it!,2
10600203,Go☆Go☆for it!,3
10600301,もちっと・ハレハレ,1
10600302,もちっと・ハレハレ,2
10600303,もちっと・ハレハレ,3
10610101,Pride of KING,1
10610102,Pride of KING,2
10610103,Pride of KING,3
10610201,轟！トレセン応援団！！,1
10610202,轟！トレセン応援団！！,2
10610203,轟！トレセン応援団！！,3
10610301,理想へのwinding road,1
10610302,理想へのwinding road,2
10610303,理想へのwinding road,3
10620101,どんっ、パッ、むんっ,1
10620102,どんっ、パッ、むんっ,2
10620103,どんっ、パッ、むんっ,3
10620201,ごろりん！？パワードライブ,1
10620202,ごろりん！？パワードライブ,2
10620203,ごろりん！？パワードライブ,3
10630101,百錬成鋼,1
10630102,百錬成鋼,2
10630103,百錬成鋼,3
10630201,千歳、廻りて,1
10630202,千歳、廻りて,2
10630203,千歳、廻りて,3
10640101,ぶっちぎりロード,1
10640102,ぶっちぎりロード,2
10640103,ぶっちぎりロード,3
10640201,jingle all the way,1
10640202,jingle all the way,2
10640203,jingle all the way,3
10650101,アゲてアゲてぷちょへんざ！,1
10650102,アゲてアゲてぷちょへんざ！,2
10650103,アゲてアゲてぷちょへんざ！,3
10650201,ノッてけ、マッシュアップ！,1
10650202,ノッてけ、マッシュアップ！,2
10650203,ノッてけ、マッシュアップ！,3
10660101,エンジン全開！大噴射！,1
10660102,エンジン全開！大噴射！,2
10660103,エンジン全開！大噴射！,3
10670101,晦冥を照らせ永遠の耀き,1
10670102,晦冥を照らせ永遠の耀き,2
10670103,晦冥を照らせ永遠の耀き,3
10670201,玄雲散らす、黄金甲矢,1
10670202,玄雲散らす、黄金甲矢,2
10670203,玄雲散らす、黄金甲矢,3
10670301,ポンテ・デ・ディアマン,1
10670302,ポンテ・デ・ディアマン,2
10670303,ポンテ・デ・ディアマン,3
10680101,勝ち鬨ワッショイ！,1
10680102,勝ち鬨ワッショイ！,2
10680103,勝ち鬨ワッショイ！,3
10680201,あっぱれ大盤振る舞い！,1
10680202,あっぱれ大盤振る舞い！,2
10680203,あっぱれ大盤振る舞い！,3
10680301,ミンナノアタシへ！,1
10680302,ミンナノアタシへ！,2
10680303,ミンナノアタシへ！,3
10690101,憧れは桜を越える！,1
10690102,憧れは桜を越える！,2
10690103,憧れは桜を越える！,3
10690201,咲け咲け！私！,1
10690202,咲け咲け！私！,2
10690203,咲け咲け！私！,3
10700101,セイリオス,1
10700102,セイリオス,2
10700103,セイリオス,3
10700201,駆るは光、狩るは星々,1
10700202,駆るは光、狩るは星々,2
10700203,駆るは光、狩るは星々,3
10710101,一期の夢、刹那の飛翔,1
10710102,一期の夢、刹那の飛翔,2
10710103,一期の夢、刹那の飛翔,3
10710201,Danser le présent,1
10710202,Danser le présent,2
10710203,Danser le présent,3
10720101,烈火繚乱、無敵之舞,1
10720102,烈火繚乱、無敵之舞,2
10720103,烈火繚乱、無敵之舞,3
10720201,剛勇果断、烈火之刀,1
10720202,剛勇果断、烈火之刀,2
10720203,剛勇果断、烈火之刀,3
10730101,燃え盛るは絶対の意志,1
10730102,燃え盛るは絶対の意志,2
10730103,燃え盛るは絶対の意志,3
10740101,麗しき花信風,1
10740102,麗しき花信風,2
10740103,麗しき花信風,3
10740201,Illuminate you,1
10740202,Illuminate you,2
10740203,Illuminate you,3
10740301,夕凪のリトリート・メモリー,1
10740302,夕凪のリトリート・メモリー,2
10740303,夕凪のリトリート・メモリー,3
10760101,花開き、世界,1
10760102,花開き、世界,2
10760103,花開き、世界,3
10760201,春光・Bon appétit,1
10760202,春光・Bon appétit,2
10760203,春光・Bon appétit,3
10770101,Road to Glory,1
10770102,Road to Glory,2
10770103,Road to Glory,3
10770201,Joy to the World,1
10770202,Joy to the World,2
10770203,Joy to the World,3
10770301,一杯全力、お届けします！,1
10770302,一杯全力、お届けします！,2
10770303,一杯全力、お届けします！,3
10780101,風光る,1
10780102,風光る,2
10780103,風光る,3
10780201,Breezy Treat,1
10780202,Breezy Treat,2
10780203,Breezy Treat,3
10790101,『船橋最強！』,1
10790102,『船橋最強！』,2
10790103,『船橋最強！』,3
10800101,Info: Acquired,1
10800102,Info: Acquired,2
10800103,Info: Acquired,3
10800201,地熱解放オーヴァードライブ,1
10800202,地熱解放オーヴァードライブ,2
10800203,地熱解放オーヴァードライブ,3
10810101,Punkish Bite,1
10810102,Punkish Bite,2
10810103,Punkish Bite,3
10820101,Shining Runway,1
10820102,Shining Runway,2
10820103,Shining Runway,3
10820201,煌めき華やぐアローライン,1
10820202,煌めき華やぐアローライン,2
10820203,煌めき華やぐアローライン,3
10830101,Mission: Triumph,1
10830102,Mission: Triumph,2
10830103,Mission: Triumph,3
10830201,Immortal Work,1
10830202,Immortal Work,2
10830203,Immortal Work,3
10840101,霹靂のアウフヘーベン,1
10840102,霹靂のアウフヘーベン,2
10840103,霹靂のアウフヘーベン,3
10840201,深淵のテルプシコラー,1
10840202,深淵のテルプシコラー,2
10840203,深淵のテルプシコラー,3
10850101,至上であれ,1
10850102,至上であれ,2
10850103,至上であれ,3
10850201,蒼炎,1
10850202,蒼炎,2
10850203,蒼炎,3
10860101,愛と熔けよただ熔けよ,1
10860102,愛と熔けよただ熔けよ,2
10860103,愛と熔けよただ熔けよ,3
10860201,解けぬ結い目,1
10860202,解けぬ結い目,2
10860203,解けぬ結い目,3
10870101,Silent letter,1
10870102,Silent letter,2
10870103,Silent letter,3
10870201,ふわもこアワー,1
10870202,ふわもこアワー,2
10870203,ふわもこアワー,3
10880101,Reversal Illusion,1
10880102,Reversal Illusion,2
10880103,Reversal Illusion,3
10880201,夏雷カスケード！,1
10880202,夏雷カスケード！,2
10880203,夏雷カスケード！,3
10890101,Celeste Oath,1
10890102,Celeste Oath,2
10890103,Celeste Oath,3
10890201,Tidebreaker,1
10890202,Tidebreaker,2
10890203,Tidebreaker,3
10900101,Queen's Rebirth,1
10900102,Queen's Rebirth,2
10900103,Queen's Rebirth,3
10910101,デラックス☆ファウンテン,1
10910102,デラックス☆ファウンテン,2
10910103,デラックス☆ファウンテン,3
10910201,ジュ・テーム☆バカンス！,1
10910202,ジュ・テーム☆バカンス！,2
10910203,ジュ・テーム☆バカンス！,3
10920101,照らすのはわたしの焔,1
10920102,照らすのはわたしの焔,2
10920103,照らすのはわたしの焔,3
10930101,幸せの青い光,1
10930102,幸せの青い光,2
10930103,幸せの青い光,3
10930201,きせき・おもい・かなで,1
10930202,きせき・おもい・かなで,2
10930203,きせき・おもい・かなで,3
10940101,Faith in the Feral,1
10940102,Faith in the Feral,2
10940103,Faith in the Feral,3
10940201,黄昏の血盟,1
10940202,黄昏の血盟,2
10940203,黄昏の血盟,3
10950101,念い、信ずればこそ,1
10950102,念い、信ずればこそ,2
10950103,念い、信ずればこそ,3
10960101,知宵欺敵、百戦不殆,1
10960102,知宵欺敵、百戦不殆,2
10960103,知宵欺敵、百戦不殆,3
10970101,スカーレットリリィの高揚,1
10970102,スカーレットリリィの高揚,2
10970103,スカーレットリリィの高揚,3
10980101,理運開かりて翔る,1
10980102,理運開かりて翔る,2
10980103,理運開かりて翔る,3
10980201,五獣挙りて彩光奏づ,1
10980202,五獣挙りて彩光奏づ,2
10980203,五獣挙りて彩光奏づ,3
10990101,かがやけ☆とまこまい,1
10990102,かがやけ☆とまこまい,2
10990103,かがやけ☆とまこまい,3
10990201,とびだせ☆ポッピングシェル,1
10990202,とびだせ☆ポッピングシェル,2
10990203,とびだせ☆ポッピングシェル,3
11000101,Never Say Never,1
11000102,Never Say Never,2
11000103,Never Say Never,3
11000201,湯守の和心,1
11000202,湯守の和心,2
11000203,湯守の和心,3
11020101,ヴィヴァーチェ・ヴォラーレ,1
11020102,ヴィヴァーチェ・ヴォラーレ,2
11020103,ヴィヴァーチェ・ヴォラーレ,3
11020201,ケ・ピアチェーヴォレ！,1
11020202,ケ・ピアチェーヴォレ！,2
11020203,ケ・ピアチェーヴォレ！,3
11030101,絶対最強☆アピール宣言！,1
11030102,絶対最強☆アピール宣言！,2
11030103,絶対最強☆アピール宣言！,3
11040101,暁の御旗『葛城栄主』！,1
11040102,暁の御旗『葛城栄主』！,2
11040103,暁の御旗『葛城栄主』！,3
11040201,決意一筆,1
11040202,決意一筆,2
11040203,決意一筆,3
11050101,アド・アストラ,1
11050102,アド・アストラ,2
11050103,アド・アストラ,3
11050201,Encounter with U,1
11050202,Encounter with U,2
11050203,Encounter with U,3
11060101,Bang☆ミラクるわせ！,1
11060102,Bang☆ミラクるわせ！,2
11060103,Bang☆ミラクるわせ！,3
11060201,小さな奇跡、フォーユー♪,1
11060202,小さな奇跡、フォーユー♪,2
11060203,小さな奇跡、フォーユー♪,3
11070101,Billions of stars,1
11070102,Billions of stars,2
11070103,Billions of stars,3
11070201,Romantic Horizon,1
11070202,Romantic Horizon,2
11070203,Romantic Horizon,3
11080101,羅刹、赤翼にて天上へ至らん,1
11080102,羅刹、赤翼にて天上へ至らん,2
11080103,羅刹、赤翼にて天上へ至らん,3
11090101,繋ぐ・繋がる×夢・未来,1
11090102,繋ぐ・繋がる×夢・未来,2
11090103,繋ぐ・繋がる×夢・未来,3
11090201,ずっとずっと輝いて,1
11090202,ずっとずっと輝いて,2
11090203,ずっとずっと輝いて,3
11100101,Guiding Sea,1
11100102,Guiding Sea,2
11100103,Guiding Sea,3
11100201,時かけるせせらぎ,1
11100202,時かけるせせらぎ,2
11100203,時かけるせせらぎ,3
11110101,辿る血脈、芽吹く未来,1
11110102,辿る血脈、芽吹く未来,2
11110103,辿る血脈、芽吹く未来,3
11120101,With All My Heart,1
11120102,With All My Heart,2
11120103,With All My Heart,3
11130101,ホップステップ・ゲッチュ♡,1
11130102,ホップステップ・ゲッチュ♡,2
11130103,ホップステップ・ゲッチュ♡,3
11130201,渚のヴィーナスタイム♡,1
11130202,渚のヴィーナスタイム♡,2
11130203,渚のヴィーナスタイム♡,3
11140101,To Our Vista,1
11140102,To Our Vista,2
11140103,To Our Vista,3
11150101,我が覇道、阻むものなし,1
11150102,我が覇道、阻むものなし,2
11150103,我が覇道、阻むものなし,3
11160101,烈華の洗礼,1
11160102,烈華の洗礼,2
11160103,烈華の洗礼,3
11160201,不凋なるCattleya,1
11160202,不凋なるCattleya,2
11160203,不凋なるCattleya,3
11170101,鋭気のアレグロ,1
11170102,鋭気のアレグロ,2
11170103,鋭気のアレグロ,3
11180101,悠遠のファーノース,1
11180102,悠遠のファーノース,2
11180103,悠遠のファーノース,3
11190101,『それでは、よき旅を』,1
11190102,『それでは、よき旅を』,2
11190103,『それでは、よき旅を』,3
11190201,夢寐に見る銀世界,1
11190202,夢寐に見る銀世界,2
11190203,夢寐に見る銀世界,3
11200101,無二無三なる一条の路,1
11200102,無二無三なる一条の路,2
11200103,無二無三なる一条の路,3
11210101,Lame de vent,1
11210102,Lame de vent,2
11210103,Lame de vent,3
11240101,ふくらむ夢、先駆の途,1
11240102,ふくらむ夢、先駆の途,2
11240103,ふくらむ夢、先駆の途,3
11240201,暁霞を拓き、朝を掴む,1
11240202,暁霞を拓き、朝を掴む,2
11240203,暁霞を拓き、朝を掴む,3
11270101,対象捕捉！正義遂行！,1
11270102,対象捕捉！正義遂行！,2
11270103,対象捕捉！正義遂行！,3
11290101,Peerless Heroine,1
11290102,Peerless Heroine,2
11290103,Peerless Heroine,3
11300101,咲う花形,1
11300102,咲う花形,2
11300103,咲う花形,3
11310101,¡Qué alegría!,1
11310102,¡Qué alegría!,2
11310103,¡Qué alegría!,3
11320101,Circulating Love♡,1
11320102,Circulating Love♡,2
11320103,Circulating Love♡,3
11320201,Watch Us Flourish,1
11320202,Watch Us Flourish,2
11320203,Watch Us Flourish,3
11330101,Weaving History,1
11330102,Weaving History,2
11330103,Weaving History,3
11340101,いずれあなたに咲くフローラ,1
11340102,いずれあなたに咲くフローラ,2
11340103,いずれあなたに咲くフローラ,3
11350101,黄金を訪ねて,1
11350102,黄金を訪ねて,2
11350103,黄金を訪ねて,3
11360101,無垢の祈り・ホーリーライト,1
11360102,無垢の祈り・ホーリーライト,2
11360103,無垢の祈り・ホーリーライト,3
11370101,想像×創造＝∞,1
11370102,想像×創造＝∞,2
11370103,想像×創造＝∞,3
11410101,光れ！弾けろ！超新星爆発！,1
11410102,光れ！弾けろ！超新星爆発！,2
11410103,光れ！弾けろ！超新星爆発！,3
11430101,Ring-a-Link,1
11430102,Ring-a-Link,2
11430103,Ring-a-Link,3
11450101,冠絶タクティクス,1
11450102,冠絶タクティクス,2
11450103,冠絶タクティクス,3
